n_agree,n_ans,n_article,n_ask,n_collection,n_editlog,n_followee,n_follower,n_thanks,n_topic,answerer_id
10,5,0,2,0,1,10,0,5,2,liu-xiao-6
7,16,0,8,0,7,17,14,11,4,liu-xiao-76
61,17,0,7,0,9,92,56,14,24,liu-xiao-87
3,6,0,7,0,13,27,34,2,3,liu-xiao-93
11,20,0,2,6,5,38,10,4,3,liu-xiao-bang
10,5,0,6,2,11,21,3,8,1,liu-xiao-bao-47
0,4,0,0,0,0,4,3,0,10,liu-xiao-bo-83
6,11,0,1,2,0,108,29,5,1,liu-xiao-che
0,1,0,0,0,0,0,0,4,18,liu-xiao-chen-82
1,2,0,2,0,1,3,15,0,15,liu-xiao-dan-52
56,48,0,7,26,7,131,17,23,1,liu-xiao-dao
8,12,0,5,0,0,3,4,2,6,liu-xiao-dong-76
0,2,0,0,0,0,14,1,0,7,liu-xiao-dong-81
0,1,0,0,0,0,3,3,0,0,liu-xiao-dong-93
14,12,0,3,0,6,8,5,9,27,liu-xiao-fan-47
3930,187,0,9,15,44,234,157,680,33,liu-xiao-feng-50-67
7,12,0,2,0,4,19,17,1,1,liu-xiao-feng
20,5,0,1,0,1,9,4,2,2,liu-xiao-gang-8
11,6,0,0,0,0,40,20,2,17,liu-xiao-han
0,2,0,0,4,0,116,6,0,27,liu-xiao-hao
65,9,0,9,1,12,58,10,10,9,liu-xiao-hua-34
2,2,0,3,0,5,22,3,0,14,liu-xiao-huan-61
0,2,0,0,0,0,5,2,0,5,liu-xiao-jian-85
108,27,0,0,12,1,115,27,39,12,liu-xiao-jiang
0,0,0,0,0,0,0,0,0,0,liu-xiao-jie-58
6,4,0,3,0,2,6,2,2,3,liu-xiao-jie
75,44,0,12,0,46,72,479,30,1,liu-xiao-jing-29
6,3,0,0,0,0,2,1,0,9,liu-xiao-jing-58
0,2,0,0,0,0,30,11,1,1,liu-xiao-jun-46
10,4,0,0,0,0,5,12,0,3,liu-xiao-kai
1,3,0,4,0,8,4,2,0,13,liu-xiao-kang-87
1,2,0,0,0,0,13,2,0,5,liu-xiao-le-63
334,2,0,0,0,0,5,23,94,5,liu-xiao-li-22
0,0,0,0,0,0,0,0,0,7,liu-xiao-liang
0,0,0,0,0,0,2,0,0,3,liu-xiao-lin-19
75,25,0,2,23,1,324,35,35,103,liu-xiao-long-83
2,4,0,0,0,0,3,0,0,0,liu-xiao-long
0,0,0,0,1,0,6,0,0,13,liu-xiao-lu
1,4,0,1,0,1,20,8,1,13,liu-xiao-ni
0,0,0,0,0,0,114,5,0,58,liu-xiao-peng
1,2,0,2,4,0,4,4,1,4,liu-xiao-qi-39
1,1,0,2,0,2,22,2,0,23,liu-xiao-qi-93
0,1,0,2,0,2,23,4,0,13,liu-xiao-qian-28
28,8,0,2,0,13,9,11,9,17,liu-xiao-qiang
20,7,0,1,3,4,20,2,5,1,liu-xiao-ran-26
6,6,0,0,3,0,16,89,2,1,liu-xiao-shu
708,97,0,9,7,213,193,446,191,26,liu-xiao-ting-shelley
1,1,0,0,0,0,2,1,0,4,liu-xiao-wei-57-20
0,2,0,0,0,0,2,0,0,5,liu-xiao-xiang-7
30,16,0,8,5,118,81,80,12,1,liu-xiao-xiang
0,1,0,0,0,0,13,10,0,19,liu-xiao-xiao-jing
28,4,0,3,0,2,17,56,2,25,liu-xiao-yan
8,19,0,0,19,0,32,10,4,8,liu-xiao-yang-19
157,8,0,0,0,2,14,55,63,17,liu-xiao-yao
133,18,0,6,0,19,94,121,24,1,liu-xiao-yi
2,1,0,0,0,0,4,1,0,10,liu-xiao-ying-35
0,0,0,0,0,0,0,0,0,0,liu-xiao-yong
11,17,0,3,0,5,59,22,5,2,liu-xiao-yu-15
1,3,0,1,1,2,184,16,2,16,liu-xiao-yu-46
1,3,0,0,0,0,3,2,1,23,liu-xiao-yu-81
40,32,0,0,1,0,19,5,5,24,liu-xiao-yu-85
0,2,0,1,0,0,9,4,0,15,liu-xiao-yu-89
5,11,0,0,0,2,315,49,3,5,liu-xiao-yu
0,1,0,0,0,0,3,7,0,3,liu-xiao-yue
0,1,0,0,0,0,3,5,0,6,liu-xiao-zhen-88
0,1,0,0,0,0,1,4,0,7,liu-xin-15
0,0,0,0,0,4,201,68,0,34,liu-xin-16
22,11,0,4,0,6,15,12,5,44,liu-xin-37-38
13,5,0,1,0,3,14,4,2,26,liu-xin-46
13,14,0,0,0,2,4,2,4,4,liu-xin-56
0,2,0,0,0,0,26,8,0,0,liu-xin-59
17,19,0,2,0,0,15,31,5,93,liu-xin-87
4,3,0,1,0,0,7,3,1,16,liu-xin-bo
1,1,0,1,0,5,2,1,0,1,liu-xin-hua-38
40,29,0,0,7,0,36,32,15,2,liu-xin-hua
0,0,0,0,0,0,36,4,0,12,liu-xin-ke
2,6,0,0,1,0,64,45,1,6,liu-xin-ling
10,11,0,1,2,3,25,4,8,2,liu-xin-ning
2,5,0,0,0,0,3,4,2,2,liu-xin-qi
2,1,0,0,0,0,2,1,1,3,liu-xin-ran-2
0,1,0,0,0,0,2,0,0,11,liu-xin-wei
6,4,0,3,1,6,23,4,0,2,liu-xin-xin-24
7,10,0,4,1,13,9,1,2,5,liu-xin-xin-95
25,12,0,0,0,0,7,6,7,5,liu-xin-yan
15,5,0,0,0,0,1,14,7,1,liu-xin-yi
5,21,0,5,0,13,19,25,1,8,liu-xin-yu-46
1,3,0,0,0,0,17,3,0,1,liu-xin-yue-43
2,4,0,8,0,13,36,17,1,2,liu-xin-yue
1,3,0,0,2,0,3,0,3,8,liu-xing-3-18
0,1,0,0,0,0,2,5,0,6,liu-xing-30
4,8,0,0,1,0,27,19,4,3,liu-xing-60
7,4,0,2,2,12,20,19,0,0,liu-xing-67
4,4,0,1,0,0,4,3,3,10,liu-xing-86
6011,147,0,159,5,883,346,1794,1745,10,liu-xing-chi
118,46,0,1,5,2,9,17,45,7,liu-xing-gu
0,0,0,10,1,38,33,9,0,43,liu-xing-he
2,1,0,1,0,2,4,6,0,33,liu-xing-jing
0,0,0,0,0,0,0,0,0,4,liu-xing-qing
0,1,0,0,0,0,4,4,0,7,liu-xing-tong
0,3,0,0,0,0,3,0,1,12,liu-xing-yu-18
0,2,0,0,0,0,9,2,0,1,liu-xing-yu-32
32,30,0,15,0,79,562,46,22,28,liu-xing-yu-53
2,6,0,5,0,1,5,5,2,13,liu-xing-yue-60
2,6,0,1,0,5,17,18,0,6,liu-xing-yue
0,0,0,0,1,0,4,0,0,0,liu-xing-yun
19,9,0,1,1,1,120,14,6,10,liu-xiu-dong
327,14,0,0,0,0,4,810,116,2,liu-xiu-ping
338,7,0,1,0,1,64,4,64,12,liu-xu-25
171,50,0,5,1,19,104,29,39,32,liu-xu-34-33
11,7,0,8,0,41,14,16,7,36,liu-xu-bo
31,13,0,5,1,7,9,34,12,7,liu-xu-mei
0,2,0,0,0,0,53,5,0,10,liu-xu-ning
0,2,0,1,3,1,9,3,1,7,liu-xu-yang
5,1,0,0,0,0,2,98,1,6,liu-xuan-42
231,45,0,2,2,8,61,31,73,3,liu-xuan-54
2,2,0,0,0,0,1,1,3,6,liu-xuan-de-74
1,2,0,1,0,0,11,3,0,10,liu-xue-75-76
2,4,0,0,0,0,49,13,3,51,liu-xue-75
0,1,0,0,0,0,2,3,0,16,liu-xue-77
1122,162,0,16,10,80,138,92,180,24,liu-xue-feng
1,3,0,0,5,0,4,3,0,22,liu-xue-lin
0,0,0,5,0,3,30,36,0,6,liu-xue-min
11,7,0,0,0,0,29,37,5,24,liu-xue-qin
57,3,0,1,0,0,3,11,20,8,liu-xue-yu
14,3,0,0,1,0,13,4,4,3,liu-xun-42
8,15,0,1,0,3,3,6,2,1,liu-ya-bin
4,7,0,1,0,0,6,1,3,2,liu-ya-dong
0,5,0,0,1,0,5,1,1,37,liu-ya-jing-11
0,1,0,0,0,0,6,4,0,33,liu-ya-li-71
2,5,0,1,0,2,17,97,6,4,liu-ya-nan
3,6,0,0,6,0,5,11,1,7,liu-ya-qi
1,3,0,0,1,0,24,12,0,29,liu-ya-xiong
0,1,0,0,0,3,0,2,0,1,liu-yan-28-17
2,11,0,0,1,0,33,5,3,8,liu-yan-28-24
477,8,1,12,15,37,66,80,88,24,liu-yan-28
1,7,0,0,0,0,4,3,0,7,liu-yan-53-98
19,4,0,6,6,23,52,8,5,7,liu-yan-8-82
0,1,0,0,1,0,27,4,0,2,liu-yan-82
6,10,0,3,0,4,9,6,3,7,liu-yan-88
28,6,0,2,0,8,38,11,7,33,liu-yan-90
0,2,0,0,0,0,2,2,0,5,liu-yan-fei
1,3,0,4,0,1,21,18,0,1,liu-yan-hao
0,1,0,0,0,0,7,5,0,26,liu-yan-jun-13
25,14,0,0,15,1,49,9,3,3,liu-yan-jun-37
0,1,0,1,0,0,1,1,0,5,liu-yan-long
12,12,0,1,0,2,2,3,3,14,liu-yan-nan
679,102,0,11,7,101,139,231,254,37,liu-yan-wu
0,6,0,4,0,3,2,0,2,16,liu-yan-xi-29
111,7,0,0,19,32,360,172,27,7,liu-yan-xi-92
7,5,0,1,3,3,33,18,6,9,liu-yan-yan-94
0,0,0,0,0,0,0,0,0,0,liu-yan-ze
0,0,0,0,6,0,7,0,0,1,liu-yan-zheng
0,0,0,0,0,0,1,0,0,3,liu-yang-1-84
0,0,0,0,0,0,2,3,0,6,liu-yang-12-70
39,7,0,2,1,10,67,77,14,2,liu-yang-12
0,1,0,0,0,0,24,2,0,21,liu-yang-18-4
1347,72,0,2,2,7,62,638,575,24,liu-yang-1987
15,4,0,0,0,0,26,22,4,1,liu-yang-23
2,4,0,0,0,0,14,7,0,6,liu-yang-28
127,26,0,16,0,34,19,107,50,14,liu-yang-32
0,2,0,0,6,0,19,1,0,1,liu-yang-34-53
0,1,0,0,0,4,20,2,0,22,liu-yang-35-31
5,2,0,3,7,3,234,9,1,2,liu-yang-38-64
21,17,0,1,2,1,21,1,4,5,liu-yang-39-84
0,1,0,0,0,0,2,0,0,0,liu-yang-41-32
9,20,0,2,1,2,52,53,1,6,liu-yang-44-54
1392,24,0,1,7,1,91,2708,397,5,liu-yang-51-4
53,4,0,0,0,0,16,6,7,17,liu-yang-52-52
5,7,0,0,0,0,2,4,3,6,liu-yang-54-40
0,0,0,0,0,0,0,0,0,0,liu-yang-55
0,2,0,0,0,0,2,3,1,23,liu-yang-57-72
10,5,0,2,0,36,18,7,1,13,liu-yang-57
0,4,0,0,1,0,15,9,0,1,liu-yang-6-23
2,2,0,8,4,5,5,3,3,1,liu-yang-62-50
3,2,0,0,2,0,10,1,1,18,liu-yang-64-39
469,34,0,0,2,2,373,564,75,12,liu-yang-7
219,35,0,3,4,1,14,131,93,1,liu-yang-71-70
7,5,0,0,0,0,4,2,4,26,liu-yang-73-25
2,2,0,2,0,2,21,2,0,7,liu-yang-74
3,10,0,3,4,8,30,3,2,19,liu-yang-76
1,4,0,0,0,0,2,1,2,2,liu-yang-84
3,10,0,2,3,3,77,4,3,8,liu-yang-96
3,3,0,0,5,0,105,6,1,3,liu-yang-97
0,1,0,0,0,0,15,5,1,13,liu-yang-fan
5,8,0,3,3,2,34,6,1,1,liu-yang-liu-yu
83,6,0,1,0,1,40,128,25,1,liu-yang
0,4,0,0,0,0,11,4,1,69,liu-yao-46
21,1,0,0,1,0,79,4,3,1,liu-yao-74
1,3,0,0,0,0,0,1,1,0,liu-yao-li
0,1,0,0,3,0,23,59,1,4,liu-yao
51,7,0,0,0,0,136,16,15,17,liu-ye-36
2436,26,5,11,0,216,35,7834,578,22,liu-ye-feng
242,23,10,0,6,0,30,62,86,7,liu-ye-ran
31,6,0,4,5,6,6,1,8,5,liu-ye-sheng
2,8,0,6,0,15,22,11,1,9,liu-yi-17-42
2,4,0,5,1,11,10,2,0,1,liu-yi-32-84
0,0,0,0,0,0,0,0,0,0,liu-yi-42
16,7,0,1,3,3,6,23,6,2,liu-yi-43
3,6,0,6,0,8,14,0,1,13,liu-yi-50-71
19,13,0,0,0,0,28,6,10,10,liu-yi-69
1,2,0,1,0,5,4,6,1,79,liu-yi-73
1,1,0,0,0,0,3,2,0,12,liu-yi-82
0,0,0,0,0,0,5,1,0,1,liu-yi-chao
0,0,0,0,0,0,0,0,0,0,liu-yi-fei-59
2,2,0,1,4,2,11,9,1,1,liu-yi-han
6,1,0,0,0,0,7,7,1,0,liu-yi-li
0,1,0,0,0,0,15,2,0,1,liu-yi-lin
0,0,0,0,3,0,23,8,0,3,liu-yi-ran
0,1,0,0,0,0,3,2,0,8,liu-yi-te
139,29,0,4,1,10,17,7,28,2,liu-yi-wei-65
0,0,0,0,1,0,0,0,0,18,liu-yi-xin-34
12,19,0,6,0,5,4,9,4,5,liu-yi-xuan
1,2,0,0,0,0,3,3,2,8,liu-yi-yun
15,15,0,0,5,1,24,13,6,3,liu-yi-zhu-84
311,33,0,30,25,516,213,101,70,81,liu-yi-zong
24,41,0,16,0,32,14,45,9,22,liu-yifei
0,1,0,2,0,1,1,10,0,1,liu-yilin
22,20,0,2,0,6,36,25,8,7,liu-yiming-39
29,5,0,0,0,0,7,10,11,18,liu-yimo
16,6,0,3,0,6,7,37,9,10,liu-ying-15
1,3,0,0,0,0,8,6,0,26,liu-ying-22-39
0,0,0,1,0,1,0,0,0,0,liu-ying-33
197,101,0,23,5,111,71,99,114,7,liu-ying-4
0,0,0,0,0,0,14,0,0,14,liu-ying-40
1,14,0,1,0,1,9,20,6,17,liu-ying-61
47,19,0,1,0,3,34,16,6,1,liu-ying-66-18
7,8,0,2,0,4,31,9,3,3,liu-ying-69
651,37,0,8,8,14,126,140,212,1,liu-ying-79
5,5,0,1,0,1,34,3,2,19,liu-ying-ji-6
0,1,0,0,0,0,4,2,0,3,liu-ying-ji-83
4,3,0,2,11,6,55,3,1,2,liu-ying-jing
67,74,0,7,0,18,20,16,16,10,liu-ying-min
0,4,0,0,1,0,5,45,0,9,liu-ying
0,3,0,0,6,0,0,0,0,1,liu-yishan
14,20,0,18,0,100,9,6,2,1,liu-yishou-96
4,2,0,2,2,7,35,2,1,1,liu-yiwei
4,29,0,39,2,170,68,15,2,1,liu-yizhuo
0,2,0,0,0,0,2,0,0,4,liu-yong-13
0,3,0,0,0,0,2,1,1,8,liu-yong-41-93
2,2,0,0,1,0,7,20,0,6,liu-yong-71
3,2,0,0,0,0,4,1,1,14,liu-yong-78-81
2,1,0,0,0,0,7,2,0,1,liu-yong-9
23,4,0,0,1,0,8,22,6,1,liu-yong-dan
0,3,0,0,0,0,2,1,1,8,liu-yong-fa
1136,40,0,3,10,3,67,15327,506,4,liu-yong-ming
0,2,0,0,0,0,10,4,1,1,liu-yong-xuan
0,1,0,0,0,0,2,3,2,5,liu-you-ren
0,1,0,0,0,0,39,22,0,4,liu-you-wen
0,3,0,1,0,2,5,0,1,12,liu-yu-14-95
6,5,0,0,0,0,17,2,0,9,liu-yu-25
59,25,0,9,1,30,183,14,17,13,liu-yu-27-89
3,8,0,3,1,5,99,4,1,13,liu-yu-41-88
94,17,0,3,12,10,109,32,37,41,liu-yu-62
21,23,0,6,4,1,13,13,11,9,liu-yu-64
30,60,0,6,7,44,156,44,18,49,liu-yu-8
15,1,0,1,0,2,25,36,4,20,liu-yu-chen-28
0,0,0,0,0,0,0,0,0,0,liu-yu-chen-43
0,2,0,1,0,0,3,0,0,25,liu-yu-chen-84
0,3,0,0,0,0,3,3,0,12,liu-yu-dong
0,0,0,0,0,0,0,0,0,0,liu-yu-fei-58
5,12,0,0,0,0,54,18,2,1,liu-yu-gang
3,4,0,6,0,0,2,4,2,0,liu-yu-hang
0,4,0,4,0,19,0,2,1,22,liu-yu-hao
11,3,0,4,0,2,22,15,6,4,liu-yu-jun
0,2,0,1,0,0,2,0,0,1,liu-yu-lei
64,6,0,1,0,0,5,133,49,1,liu-yu-ling
0,3,0,2,7,5,22,4,0,1,liu-yu-long-88-83
345,40,0,8,16,24,319,62,62,35,liu-yu-qi-55
75,46,0,11,1,9,124,36,28,93,liu-yu-sheng
0,1,0,0,0,0,1,1,0,2,liu-yu-shi
0,0,0,6,1,11,26,7,0,1,liu-yu-tong-68
40,64,0,18,11,37,54,9,13,13,liu-yu-xin-37
5,15,0,15,0,25,36,15,6,1,liu-yu-xin
68,8,0,2,0,11,41,33,25,29,liu-yu-xuan
0,2,0,1,0,0,9,1,0,9,liu-yu-xue
1,3,0,0,0,0,4,2,1,0,liu-yu-yang
9,41,0,13,1,11,12,6,5,1,liu-yu-zhou
2,5,0,0,1,0,13,13,0,1,liu-yu-zhu
0,2,0,0,0,0,3,1,1,7,liu-yuan-53
1,5,0,1,0,6,12,7,0,5,liu-yuan-54
2,4,0,2,0,7,27,6,1,7,liu-yuan-60-12
0,0,0,1,0,2,10,0,0,1,liu-yuan-hang
4826,346,0,9,2,505,480,7323,1486,4,liu-yuan-shan
4,12,0,1,0,2,22,4,1,21,liu-yuan-tao
15,5,0,0,0,0,4,19,3,9,liu-yuan-yang
0,1,0,4,0,2,14,51,0,12,liu-yuan-yuan-6
0,4,0,1,8,1,3,1,0,1,liu-yue-23
1,3,0,1,0,1,32,76,0,27,liu-yue-6
725,65,0,8,0,9,108,212,229,10,liu-yue-63
6,4,0,0,0,0,2,6,1,4,liu-yue-7
0,0,0,0,0,0,2,0,0,1,liu-yue-84
1,2,0,1,2,1,25,2,1,9,liu-yue-bin
1,3,0,3,0,10,6,0,0,2,liu-yun-18
1,2,0,1,3,2,22,3,1,2,liu-yun-46
0,1,0,0,0,0,14,3,1,15,liu-yun-78
332,251,0,18,4,143,23,201,185,9,liu-yun-86-42
0,1,0,4,0,8,14,4,0,19,liu-yun-88
0,0,0,0,1,0,3,1,0,0,liu-yun-fei-64
2,5,0,2,2,3,7,0,2,12,liu-yun-feng-12
0,1,0,0,0,0,10,2,0,8,liu-yun-ji
3,6,0,0,0,0,21,0,0,4,liu-yun-long-79
20,25,0,3,2,12,154,56,10,23,liu-yun-long
0,0,0,0,0,0,26,1,0,11,liu-yun-ping
2,1,0,0,0,0,22,18,3,2,liu-yun-shan
614,25,0,0,1,0,287,142,122,42,liu-yun-yi
1,4,0,14,0,9,78,11,0,5,liu-yun-zhou
0,4,0,1,2,0,12,12,2,3,liu-yun
0,0,0,0,0,0,8,7,0,0,liu-ze-min
0,1,0,0,0,0,3,2,0,14,liu-ze-rui
0,1,0,0,0,0,3,2,1,9,liu-ze-xing-1
87,5,0,1,0,4,3,10,53,11,liu-ze-yang-19
0,2,0,0,0,0,15,9,0,4,liu-zhan-97
322,88,0,9,7,23,66,239,101,5,liu-zhan-shan
0,4,0,8,0,24,6,2,3,15,liu-zhang-yu
5,8,0,2,0,1,10,7,2,52,liu-zhao-53
9,16,0,0,0,0,3,19,11,12,liu-zhao-79-74
0,3,0,0,0,0,25,3,0,6,liu-zhao-min
0,2,0,0,0,0,29,0,1,10,liu-zhao-quan
66,18,0,2,1,1,76,19,19,6,liu-zhao-ru
19,23,0,0,5,0,92,29,5,14,liu-zhe-24
2,2,0,0,0,0,3,10,1,7,liu-zhe-39
425,150,0,49,4,218,61,212,214,1,liu-zhe-41
3,3,0,1,1,7,54,4,0,14,liu-zhe-47
51,9,0,1,0,1,5,7,17,7,liu-zhe-6
0,2,0,0,1,0,55,4,0,20,liu-zhen-51-9
36,9,0,14,1,14,29,30,29,1,liu-zhen-57
0,2,0,2,0,7,5,1,0,74,liu-zhen-65
7,14,0,1,8,3,40,6,5,4,liu-zhen-66
0,0,0,0,0,0,2,0,0,9,liu-zhen-98
10,8,0,34,18,137,717,47,7,228,liu-zhen-chuan-98
129,33,0,2,3,26,26,31,39,1,liu-zhen-feng
42,9,0,3,0,4,22,26,12,32,liu-zhen-hong
18,8,0,6,1,3,15,3,7,1,liu-zhen-hui
3,4,0,6,0,9,2,2,2,6,liu-zhen-nan
0,8,0,1,0,21,1,1,1,4,liu-zhen-wei-36
0,0,0,4,1,7,14,29,0,26,liu-zhen-wei
1,2,0,0,0,0,27,1,2,16,liu-zhen-xing
0,3,0,0,0,0,69,13,1,3,liu-zhen-ying
6,7,0,0,0,1,33,11,5,28,liu-zheng-13
0,4,0,1,0,1,7,61,0,6,liu-zheng-18
3,11,0,3,2,6,13,6,3,1,liu-zheng-23-61
2,2,0,0,1,0,10,0,3,8,liu-zheng-84
50,10,0,0,1,0,3,6,10,8,liu-zheng-88
2,5,0,0,0,0,0,0,0,1,liu-zheng-kai
1,6,0,1,0,0,10,2,1,3,liu-zheng-ke
3,3,0,3,0,2,20,3,0,26,liu-zheng-yang
12,2,0,0,1,0,0,16,6,1,liu-zheng-yi
6,7,0,0,0,0,32,12,5,1,liu-zhi-bang
2,2,0,0,0,0,2,4,1,5,liu-zhi-bin-25
0,2,0,0,39,0,38,1,1,16,liu-zhi-chao-63
7,1,0,1,0,0,136,375,8,28,liu-zhi-chao
6,3,0,0,0,0,15,1,2,4,liu-zhi-cheng-48
2,2,0,1,0,0,2,5,1,7,liu-zhi-gang-96
7,7,0,3,0,4,74,17,5,1,liu-zhi-gang
54,4,0,2,1,5,107,15,19,25,liu-zhi-gao
210,69,0,6,8,16,51,116,55,14,liu-zhi-guo-20
0,5,0,5,2,5,9,4,0,6,liu-zhi-hao
3,8,0,2,0,0,8,35,7,5,liu-zhi-heng
19,7,0,0,25,0,182,11,2,18,liu-zhi-hong
7,13,0,0,0,0,10,12,4,3,liu-zhi-hui-77
0,3,0,0,0,0,43,2,0,16,liu-zhi-neng-3
21,13,0,0,0,0,5,7,8,25,liu-zhi-qiang-18
4,1,0,0,0,0,2,1,1,7,liu-zhi-qiang-35
1,6,0,5,0,25,66,16,5,21,liu-zhi-tong
0,0,0,0,0,0,0,0,0,11,liu-zhi-yan
0,1,0,0,0,1,2,7,0,0,liu-zhi-yong-47
11,12,0,11,0,34,2,6,5,1,liu-zhi-yong
13,9,0,3,0,0,31,48,4,8,liu-zhi-yu
0,2,0,2,0,3,17,2,0,21,liu-zhi-zhen
2,4,0,2,2,6,11,3,1,1,liu-zhifeng
3,5,0,4,1,6,8,5,0,5,liu-zhong-wei
0,0,0,0,0,0,0,0,0,0,liu-zhou-49
165,61,0,1,4,3,41,25,44,5,liu-zhu-3
0,0,0,0,0,0,1,0,0,7,liu-zhu-57
0,1,0,1,0,2,12,6,0,13,liu-zhu-61
4,10,0,0,0,0,5,5,4,10,liu-zhu-feng
69,1,0,0,0,0,18,31,7,10,liu-zhu-zhu
46,11,0,0,0,0,28,185,19,9,liu-zhuo-67
0,1,0,3,0,9,41,3,0,5,liu-zi-bai
0,0,0,0,0,0,14,1,0,26,liu-zi-dong
0,0,0,0,0,0,0,0,0,0,liu-zi-han-36
9,25,0,6,6,6,31,7,5,3,liu-zi-jie
0,0,0,0,0,0,1,1,0,1,liu-zi-pei
7,27,0,23,0,28,18,15,3,23,liu-zi-qi-40
0,5,0,10,0,17,2,4,3,5,liu-zi-qi
159,84,0,6,11,16,380,16,25,90,liu-zi-shan
33,25,0,7,5,10,7,14,5,4,liu-zi-xu
6,1,0,0,0,0,1,3,1,0,liu-zi-yu
0,0,0,0,0,0,14,1,0,24,liu-zi-zai
1,2,0,1,14,2,18,6,0,2,liu-zong-cheng
380,46,0,1,1,5,180,133,114,6,liu-zong-yu-77
0,4,0,0,0,0,68,4,1,7,liu-zong-yu
3,3,0,1,0,1,38,16,1,1,liu-zu-chong
5,6,0,10,44,14,112,4,0,1,liu-zu-kang
20,3,0,1,30,1,376,2,1,66,liu-zu-liang
761,22,0,37,3,309,509,104,127,40,liu-___-ming-82
1,4,0,0,1,0,8,1,2,19,liu.m.steven
0,2,0,0,5,0,149,7,1,11,liu.qi
13,15,0,0,0,0,50,3,6,1,liubaoxiong
10,6,0,7,0,10,11,7,5,15,liuben
4,4,0,0,0,2,32,29,5,5,liubengda
128,51,0,14,0,19,59,62,61,6,liubin
8,48,0,0,0,0,245,43,8,3,liubingshao
0,0,0,0,0,1,121,34,0,8,liubinke
144,14,0,5,0,21,372,2693,65,45,liuboting
2,2,0,1,1,2,99,87,2,15,liucan
0,1,0,0,0,0,23,9,1,2,liucg
259,122,0,3,4,7,57,78,159,1,liucheng
11,25,0,2,0,1,187,108,7,2,liuchuang
113,18,0,2,3,7,50,47,51,6,liuchunhui
45,7,0,35,0,212,252,21,12,39,liuchy
3443,197,0,30,5,489,223,2189,577,21,liucundong
1,2,0,0,0,0,94,10,3,16,liucx
14,5,0,0,0,8,11,10,2,9,liudai
397,86,0,15,19,199,279,46,67,12,liudehua
0,6,0,1,0,1,2,6,4,9,liudengbang
29,7,0,0,1,0,71,33,5,6,liudi
5,2,0,0,1,0,20,10,0,1,liudl
12,9,0,0,0,1,47,11,3,14,Liudon
712,65,0,8,13,419,45,222,233,7,LiuDong
124,56,0,12,3,17,252,56,35,66,liudongdong
33,13,0,9,1,17,50,81,5,5,liudongqing
1861,32,0,0,0,0,152,1323,916,41,liuencheng
3,4,0,3,0,0,4,3,1,10,liufan
4,7,0,0,6,2,56,10,1,9,liufei-learning
1,3,0,1,0,5,35,15,3,12,liufei
758,64,0,31,1,186,168,144811,288,29,liufeng
0,0,0,0,1,0,354,22,0,3,liufuyong
2,15,0,1,0,0,21,13,3,9,liugang1981
0,2,0,0,1,0,17,2,0,12,liugang336
1,8,0,2,7,0,97,11,1,15,liugaoshan
288,44,0,4,5,17,52,219,122,6,liuguo
20,30,0,3,1,6,125,62,4,12,liuguojun
347,24,0,8,10,28,64,168,179,24,liuguotao
44,38,0,4,0,2,1653,89,17,356,liuhai
0,1,0,3,0,7,9,4,0,16,liuhaibao
5,14,0,4,1,3,30,53,0,2,liuhanyu
19,17,0,0,0,0,15,11,5,16,liuhong
840,103,0,38,6,251,135,146,157,7,liuhongbo
9,14,0,23,0,22,22,8,3,31,liuhp
48,24,0,18,7,35,13,31,29,4,liuhu
15,27,0,8,0,10,38,48,2,7,liuhuafang
1,1,0,0,0,0,10,8,0,14,liuhuanhuan
63,29,0,7,0,44,200,61,37,76,liuhy
0,0,0,0,0,0,0,0,0,3,liuis
227,27,0,6,8,16,77,22,45,12,liuiuon
3,1,0,0,0,0,11,0,0,0,liujia-dudu
0,1,0,0,1,0,37,51,0,4,liujia
374,108,1,31,7,217,258,461,105,82,liujian
8,7,0,0,2,0,6,2,2,3,liujian123
1238,99,0,16,0,53,106,33080,443,2,liujiang
653,64,0,5,12,149,625,69,344,99,liujianlong
5,6,0,0,0,0,227,9,4,23,liujianmin
1328,22,0,2,31,15,459,383,225,32,liujianwen
11,10,0,2,0,7,43,78,10,41,liujiaqi
29,26,0,1,0,1,135,11,19,11,liujiaxin
946,256,0,0,3,0,10,105,170,3,liujie029
145,43,0,1,0,1,67,986,52,33,liujinbo
220,52,0,9,1,16,216,766,52,95,liujing
3,12,0,5,0,13,65,11,4,1,liujixun
3,4,0,1,0,6,9,2,2,4,liujiyuan
19,6,0,2,0,0,5,2,4,15,liukaiyu
1,6,0,2,5,2,9,2,3,2,liukeming
8,3,0,1,0,3,5,8,3,33,liukeqiao
0,1,0,0,1,0,0,0,0,0,liukmlg
0,1,0,0,0,0,33,44,0,2,liukun
0,4,0,9,0,10,4,6,0,1,liukunliukun
4,8,0,5,2,18,27,12,5,2,liukuo
2596,109,0,0,2,47,137,1178,805,3,liulaohei
5,5,0,1,1,1,18,11,4,7,liulei
4,10,0,3,0,8,35,38,6,18,liulena
1,2,0,0,0,0,2,1,0,1,liuli-53
0,0,0,0,0,0,1,1,0,5,liulian
40,42,0,1,0,0,27,29,21,28,liulichuan
12,8,0,2,3,11,76,31,7,1,liuliming
3,3,0,0,0,0,2,3,1,16,liulin108
0,1,0,1,0,2,13,7,0,23,liulingsong
13,12,0,0,1,0,230,39,5,18,liuliping
7,15,0,4,0,23,13,8,1,46,liuliqun
2,3,0,0,0,3,10,37,0,61,liulizhu
